Serial Number,Name,Marks
1,Person_1,64
2,Person_2,67
3,Person_3,64
4,Person_4,78
5,Person_5,56
6,Person_6,86
7,Person_7,47
8,Person_8,87
9,Person_9,81
10,Person_10,65
11,Person_11,70
12,Person_12,53
13,Person_13,76
14,Person_14,113
15,Person_15,82
16,Person_16,66
17,Person_17,45
18,Person_18,89
19,Person_19,83
20,Person_20,67
21,Person_21,61
22,Person_22,76
23,Person_23,98
24,Person_24,85
25,Person_25,70
26,Person_26,80
27,Person_27,70
28,Person_28,53
29,Person_29,46
30,Person_30,53
31,Person_31,84
32,Person_32,61
33,Person_33,54
34,Person_34,44
35,Person_35,82
36,Person_36,60
37,Person_37,80
38,Person_38,83
39,Person_39,100
40,Person_40,71
41,Person_41,59
42,Person_42,82
43,Person_43,83
44,Person_44,75
45,Person_45,69
46,Person_46,88
47,Person_47,72
48,Person_48,87
49,Person_49,93
50,Person_50,76
51,Person_51,60
52,Person_52,63
53,Person_53,62
54,Person_54,58
55,Person_55,90
56,Person_56,69
57,Person_57,78
58,Person_58,69
59,Person_59,66
60,Person_60,66
61,Person_61,78
62,Person_62,96
63,Person_63,49
64,Person_64,54
65,Person_65,76
66,Person_66,64
67,Person_67,63
68,Person_68,93
69,Person_69,78
70,Person_70,65
71,Person_71,59
72,Person_72,62
73,Person_73,91
74,Person_74,68
75,Person_75,51
76,Person_76,95
77,Person_77,72
78,Person_78,64
79,Person_79,50
80,Person_80,61
81,Person_81,71
82,Person_82,94
83,Person_83,84
84,Person_84,91
85,Person_85,72
86,Person_86,72
87,Person_87,21
88,Person_88,88
89,Person_89,102
90,Person_90,77
91,Person_91,58
92,Person_92,81
93,Person_93,52
94,Person_94,58
95,Person_95,66
96,Person_96,105
97,Person_97,76
98,Person_98,46
99,Person_99,88
100,Person_100,59
101,Person_101,79
102,Person_102,73
103,Person_103,83
104,Person_104,65
105,Person_105,51
106,Person_106,65
107,Person_107,86
108,Person_108,53
109,Person_109,91
110,Person_110,80
111,Person_111,85
112,Person_112,41
113,Person_113,66
114,Person_114,61
115,Person_115,50
116,Person_116,79
117,Person_117,69
118,Person_118,83
119,Person_119,52
120,Person_120,88
121,Person_121,58
122,Person_122,82
123,Person_123,64
124,Person_124,66
125,Person_125,64
126,Person_126,59
127,Person_127,73
128,Person_128,92
129,Person_129,87
130,Person_130,81
131,Person_131,65
132,Person_132,72
133,Person_133,54
134,Person_134,95
135,Person_135,92
136,Person_136,114
137,Person_137,58
138,Person_138,37
139,Person_139,55
140,Person_140,77
141,Person_141,52
142,Person_142,78
143,Person_143,60
144,Person_144,62
145,Person_145,77
146,Person_146,65
147,Person_147,63
148,Person_148,53
149,Person_149,71
150,Person_150,74
151,Person_151,72
152,Person_152,37
153,Person_153,80
154,Person_154,88
155,Person_155,56
156,Person_156,67
157,Person_157,52
158,Person_158,76
159,Person_159,85
160,Person_160,91
161,Person_161,72
162,Person_162,68
163,Person_163,67
164,Person_164,68
165,Person_165,57
166,Person_166,101
167,Person_167,48
168,Person_168,74
169,Person_169,78
170,Person_170,75
171,Person_171,62
172,Person_172,57
173,Person_173,64
174,Person_174,82
175,Person_175,55
176,Person_176,84
177,Person_177,73
178,Person_178,87
179,Person_179,68
180,Person_180,73
181,Person_181,83
182,Person_182,73
183,Person_183,73
184,Person_184,78
185,Person_185,71
186,Person_186,62
187,Person_187,79
188,Person_188,76
189,Person_189,70
190,Person_190,96
191,Person_191,70
192,Person_192,64
193,Person_193,80
194,Person_194,87
195,Person_195,69
196,Person_196,71
197,Person_197,80
198,Person_198,64
199,Person_199,67
200,Person_200,59
